"Search Query", "URL"
"kehlani", "https://soundcloud.com/search?q=kehlani"
"skateboard p", "https://soundcloud.com/search?q=skateboard%20p"
"smokepurpp", "https://soundcloud.com/search?q=smokepurpp"
"asap rocky", "https://soundcloud.com/search?q=asap%20rocky"
"moneybagg yo", "https://soundcloud.com/search?q=moneybagg%20yo"
"swang rae sremmurd", "https://soundcloud.com/search?q=swang%20rae%20sremmurd"
"portland drake", "https://soundcloud.com/search?q=portland%20drake"
"dave east", "https://soundcloud.com/search?q=dave%20east"
"drowning a boogie", "https://soundcloud.com/search?q=drowning%20a%20boogie"
"g eazy", "https://soundcloud.com/search?q=g%20eazy"
"ultra 2017", "https://soundcloud.com/search?q=ultra%202017"
"tunnel vision kodak", "https://soundcloud.com/search?q=tunnel%20vision%20kodak"
"childish gambino", "https://soundcloud.com/search?q=childish%20gambino"
"young pappy", "https://soundcloud.com/search?q=young%20pappy"
"rae sremmurd", "https://soundcloud.com/search?q=rae%20sremmurd"
"lil bibby", "https://soundcloud.com/search?q=lil%20bibby"
"flatbush zombies", "https://soundcloud.com/search?q=flatbush%20zombies"
"t shirt", "https://soundcloud.com/search?q=t%20shirt"
"gorillaz", "https://soundcloud.com/search?q=gorillaz"
"water", "https://soundcloud.com/search?q=water"
"trey songz", "https://soundcloud.com/search?q=trey%20songz"
"more life", "https://soundcloud.com/search?q=more%20life"
"gassed up", "https://soundcloud.com/search?q=gassed%20up"
"congratulations post malone", "https://soundcloud.com/search?q=congratulations%20post%20malone"
"slippery", "https://soundcloud.com/search?q=slippery"
"justin bieber", "https://soundcloud.com/search?q=justin%20bieber"
"chill bill", "https://soundcloud.com/search?q=chill%20bill"
"money man", "https://soundcloud.com/search?q=money%20man"
"look at me xxxtentacion", "https://soundcloud.com/search?q=look%20at%20me%20xxxtentacion"
"rick ross", "https://soundcloud.com/search?q=rick%20ross"
"pouya", "https://soundcloud.com/search?q=pouya"
"lil uzi vert xo tour life", "https://soundcloud.com/search?q=lil%20uzi%20vert%20xo%20tour%20life"
"bruno mars thats what i like", "https://soundcloud.com/search?q=bruno%20mars%20thats%20what%20i%20like"
"slide calvin harris", "https://soundcloud.com/search?q=slide%20calvin%20harris"
"no heart", "https://soundcloud.com/search?q=no%20heart"
"rich homie quan", "https://soundcloud.com/search?q=rich%20homie%20quan"
"party chris brown", "https://soundcloud.com/search?q=party%20chris%20brown"
"unforgettable french montana", "https://soundcloud.com/search?q=unforgettable%20french%20montana"
"take a step back", "https://soundcloud.com/search?q=take%20a%20step%20back"
"migos t shirt", "https://soundcloud.com/search?q=migos%20t%20shirt"
"rihanna", "https://soundcloud.com/search?q=rihanna"
"kyle", "https://soundcloud.com/search?q=kyle"
"caroline", "https://soundcloud.com/search?q=caroline"
"bones", "https://soundcloud.com/search?q=bones"
"passionfruit", "https://soundcloud.com/search?q=passionfruit"
"broccoli", "https://soundcloud.com/search?q=broccoli"
"banda ms", "https://soundcloud.com/search?q=banda%20ms"
"everyday we lit", "https://soundcloud.com/search?q=everyday%20we%20lit"
"romeo santos", "https://soundcloud.com/search?q=romeo%20santos"
"don q", "https://soundcloud.com/search?q=don%20q"
"ariana grande", "https://soundcloud.com/search?q=ariana%20grande"
"lil dicky", "https://soundcloud.com/search?q=lil%20dicky"
"mac miller", "https://soundcloud.com/search?q=mac%20miller"
"young ma", "https://soundcloud.com/search?q=young%20ma"
"kanye west", "https://soundcloud.com/search?q=kanye%20west"
"i spy kyle", "https://soundcloud.com/search?q=i%20spy%20kyle"
"there he go", "https://soundcloud.com/search?q=there%20he%20go"
"draco future", "https://soundcloud.com/search?q=draco%20future"
"fake love", "https://soundcloud.com/search?q=fake%20love"
"juju on that beat", "https://soundcloud.com/search?q=juju%20on%20that%20beat"
"slide", "https://soundcloud.com/search?q=slide"
"chainsmokers", "https://soundcloud.com/search?q=chainsmokers"
"playboicarti", "https://soundcloud.com/search?q=playboicarti"
"painting pictures", "https://soundcloud.com/search?q=painting%20pictures"
"too many years", "https://soundcloud.com/search?q=too%20many%20years"
"kendrick lamar damn", "https://soundcloud.com/search?q=kendrick%20lamar%20damn"
"kodak black painting pictures", "https://soundcloud.com/search?q=kodak%20black%20painting%20pictures"
"kodak black tunnel vision", "https://soundcloud.com/search?q=kodak%20black%20tunnel%20vision"
"ed sheeran", "https://soundcloud.com/search?q=ed%20sheeran"
"from the d to the a", "https://soundcloud.com/search?q=from%20the%20d%20to%20the%20a"
"issues", "https://soundcloud.com/search?q=issues"
"thats what i like bruno mars", "https://soundcloud.com/search?q=thats%20what%20i%20like%20bruno%20mars"
"redbone", "https://soundcloud.com/search?q=redbone"
"horses pnb rock", "https://soundcloud.com/search?q=horses%20pnb%20rock"
"sob x rbe", "https://soundcloud.com/search?q=sob%20x%20rbe"
"gucci on my", "https://soundcloud.com/search?q=gucci%20on%20my"
"twenty one pilots", "https://soundcloud.com/search?q=twenty%20one%20pilots"
"travis scott goosebumps", "https://soundcloud.com/search?q=travis%20scott%20goosebumps"
"damn kendrick lamar", "https://soundcloud.com/search?q=damn%20kendrick%20lamar"
"panda", "https://soundcloud.com/search?q=panda"
"desiigner", "https://soundcloud.com/search?q=desiigner"
"pull up with a stick", "https://soundcloud.com/search?q=pull%20up%20with%20a%20stick"
"tupac", "https://soundcloud.com/search?q=tupac"
"el fantasma", "https://soundcloud.com/search?q=el%20fantasma"
