"Search Query", "URL"
"thouxanbanfauni", "https://soundcloud.com/search?q=thouxanbanfauni"
"misunderstood", "https://soundcloud.com/search?q=misunderstood"
"ugly god bitch", "https://soundcloud.com/search?q=ugly%20god%20bitch"
"linkin park", "https://soundcloud.com/search?q=linkin%20park"
"slipknot", "https://soundcloud.com/search?q=slipknot"
"skrilla", "https://soundcloud.com/search?q=skrilla"
"ten toes down instrumental", "https://soundcloud.com/search?q=ten%20toes%20down%20instrumental"
"love dont change", "https://soundcloud.com/search?q=love%20dont%20change"
"toni romiti", "https://soundcloud.com/search?q=toni%20romiti"
"kodak black conscience", "https://soundcloud.com/search?q=kodak%20black%20conscience"
"rockabye baby", "https://soundcloud.com/search?q=rockabye%20baby"
"acid rap", "https://soundcloud.com/search?q=acid%20rap"
"lil", "https://soundcloud.com/search?q=lil"
"luke bryan", "https://soundcloud.com/search?q=luke%20bryan"
"rap god", "https://soundcloud.com/search?q=rap%20god"
"snoop dogg", "https://soundcloud.com/search?q=snoop%20dogg"
"migos cocoon", "https://soundcloud.com/search?q=migos%20cocoon"
"heathens", "https://soundcloud.com/search?q=heathens"
"nf", "https://soundcloud.com/search?q=nf"
"pnb rock questions", "https://soundcloud.com/search?q=pnb%20rock%20questions"
"mike stud", "https://soundcloud.com/search?q=mike%20stud"
"the night we met", "https://soundcloud.com/search?q=the%20night%20we%20met"
"biking frank ocean", "https://soundcloud.com/search?q=biking%20frank%20ocean"
"jay z", "https://soundcloud.com/search?q=jay%20z"
"jungle a boogie", "https://soundcloud.com/search?q=jungle%20a%20boogie"
"tchami", "https://soundcloud.com/search?q=tchami"
"ncs", "https://soundcloud.com/search?q=ncs"
"candy paint", "https://soundcloud.com/search?q=candy%20paint"
"beats", "https://soundcloud.com/search?q=beats"
"shining dj khaled", "https://soundcloud.com/search?q=shining%20dj%20khaled"
"drake free smoke", "https://soundcloud.com/search?q=drake%20free%20smoke"
"dj khaled", "https://soundcloud.com/search?q=dj%20khaled"
"kap g", "https://soundcloud.com/search?q=kap%20g"
"24k magic", "https://soundcloud.com/search?q=24k%20magic"
"frostydasnowmann", "https://soundcloud.com/search?q=frostydasnowmann"
"nghtmre", "https://soundcloud.com/search?q=nghtmre"
"lil durk better", "https://soundcloud.com/search?q=lil%20durk%20better"
"beat my meat", "https://soundcloud.com/search?q=beat%20my%20meat"
"calvin harris", "https://soundcloud.com/search?q=calvin%20harris"
"run up on me", "https://soundcloud.com/search?q=run%20up%20on%20me"
"marvins room", "https://soundcloud.com/search?q=marvins%20room"
"tee grizzley no effort", "https://soundcloud.com/search?q=tee%20grizzley%20no%20effort"
"rj", "https://soundcloud.com/search?q=rj"
"griz", "https://soundcloud.com/search?q=griz"
"erase your social", "https://soundcloud.com/search?q=erase%20your%20social"
"berner", "https://soundcloud.com/search?q=berner"
"switch up", "https://soundcloud.com/search?q=switch%20up"
"there she go", "https://soundcloud.com/search?q=there%20she%20go"
"brown paper bag", "https://soundcloud.com/search?q=brown%20paper%20bag"
"los tigres del norte", "https://soundcloud.com/search?q=los%20tigres%20del%20norte"
